pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.25,111,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,3.112913286168473e-07,4.407348619742124e-09,3.0688397999710515e-07,70.63006707081435,4.257455933028399,0.1790409700259163,0.0,0.1790409700259163,higher
heat,0.25,112,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.0038398919515482e-07,3.4956255234169782e-09,1.9688836367173784e-07,57.324215037564784,4.04872313545466,0.144939113940327,0.0,0.144939113940327,higher
heat,0.25,113,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,1.3711958756282286e-07,3.831702675635706e-09,1.3328788488718715e-07,35.78554996835024,3.5775441797562766,0.0715464494110417,0.0,0.0715464494110417,higher
heat,0.25,114,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.7853406036129624e-07,3.6958041592372037e-09,2.7483825620205904e-07,75.3649404460826,4.322342186055621,0.1926466824660408,0.0,0.1926466824660408,higher
heat,0.25,115,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.296875062091086e-07,3.156877335930286e-09,2.2653062887317832e-07,72.7578178584576,4.287136362249903,0.2171094521341645,0.0,0.2171094521341645,higher
heat,0.25,116,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,3.3036584095452737e-07,3.294764888868429e-09,3.2707107606565894e-07,100.26992884095894,4.607865837861292,0.2605779760211067,0.0,0.2605779760211067,higher
heat,0.25,117,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,2.3433530664182525e-07,3.623523951376551e-09,2.307117826904487e-07,64.67055545549877,4.169306004496902,0.2529721905377057,0.0,0.2529721905377057,higher
heat,0.25,118,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,1.9329077649912765e-07,3.6547528814087622e-09,1.896360236177189e-07,52.88750916166505,3.9681671892754795,0.1118004831509483,0.0,0.1118004831509483,higher
heat,0.25,119,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,1.8285926068478678e-07,2.3191462561120142e-09,1.8054011442867476e-07,78.8476622390109,4.3675176647642155,0.1845526753536157,0.0,0.1845526753536157,higher
heat,0.4,100,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.133461448674325e-05,3.705785079667623e-07,4.0964035978776486e-05,111.54077637565157,4.714390231450467,19.79127834637137,0.1752241297599981,19.616054216611374,higher
