pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
wave,0.25,213,layer0,uniform,0.0029258142167236656,0.0027217158931307495,0.0028048537205904722,2.454939343847953,1.0749888421888683,0.0296406999229253
wave,0.25,213,layer0,random,0.0029441929364111274,0.0027217158931307495,0.0028048537205904722,2.6760026101014005,1.0817414645819134,0.0296406999229253
wave,0.25,213,layer0,identity,0.003094326879363507,0.0027217158931307495,0.0028048537205904722,4.4818465627247,1.1369029688856132,0.0296406999229253
wave,0.25,213,layer0,frozen,0.0028937122551724315,0.0027217158931307495,0.0028048537205904722,2.068809918385322,1.0631940910790056,0.0296406999229253
wave,0.25,213,layer0,original,0.0027217158931307495,0.0027217158931307495,0.0028048537205904722,0.0,1.0,0.0296406999229253
wave,0.25,213,layer1,stencil,0.003474462340818718,0.0027217158931307495,0.0028048537205904722,9.054199161658955,1.276570544922709,0.0296406999229253
wave,0.25,213,layer1,acf,0.003034738212591037,0.0027217158931307495,0.0028048537205904722,3.765101025907077,1.1150091823508526,0.0296406999229253
wave,0.25,213,layer1,xcorr,0.0030349845183081925,0.0027217158931307495,0.0028048537205904722,3.7680636450262095,1.1150996788342573,0.0296406999229253
wave,0.25,213,layer1,uniform,0.002896772319218144,0.0027217158931307495,0.0028048537205904722,2.105617039033198,1.0643184053593593,0.0296406999229253
wave,0.25,213,layer1,random,0.002872285433113575,0.0027217158931307495,0.0028048537205904722,1.8110834091228925,1.055321549307495,0.0296406999229253
wave,0.25,213,layer1,identity,0.0034738172544166446,0.0027217158931307495,0.0028048537205904722,9.046439921108846,1.2763335303233152,0.0296406999229253
wave,0.25,213,layer1,frozen,0.0028588486602529883,0.0027217158931307495,0.0028048537205904722,1.6494629618349685,1.0503846736789626,0.0296406999229253
wave,0.25,213,layer1,original,0.0027217158931307495,0.0027217158931307495,0.0028048537205904722,0.0,1.0,0.0296406999229253
wave,0.25,213,layer2,stencil,0.004362554114777595,0.0027217158931307495,0.0028048537205904722,19.736361555054724,1.6028690304480728,0.0296406999229253
